ID	名前	特性	番号	現在のセリフ	修正後セリフ
26	宮守なつめ	努力家, 早熟	3	努力は裏切らない。元砥石川の意地、見せたよ！	
27	八重樫舞	鉄人	1	パワーもスピードもスタミナも！ 全部出し切ったよ！	
27	八重樫舞	鉄人	2	元砥石川の仲間たちに恥じない試合ができた！	
27	八重樫舞	鉄人	3	タフさなら誰にも負けない。何度でも立ち上がる！	
28	岩屋みら	ガラスの身体, 早熟	1	パワーとスピード…両方使えるのが私の武器！	
28	岩屋みら	ガラスの身体, 早熟	2	体が脆い分、一気に仕留める！ 長引くと不利だから！	
28	岩屋みら	ガラスの身体, 早熟	3	元四天王の名前、伊達じゃないでしょ？	
29	相沢未来	人望, 鉄人	1	キャプテンとして…チームの勝利を掴む！	
29	相沢未来	人望, 鉄人	2	膝のケガを乗り越えてきた。もう何も怖くない！	
29	相沢未来	人望, 鉄人	3	奥山川の旗を、もっと高く掲げるために！	
30	松川杏樹	ムードメーカー, 破天荒	1	いぇーい！ 盛り上がってきたねー！ まだまだいくよー！	
30	松川杏樹	ムードメーカー, 破天荒	2	転校生でも関係ない。チームのために全力よ！	
30	松川杏樹	ムードメーカー, 破天荒	3	174cmの体格、活かさなきゃもったいないでしょ♪	
31	平松かなみ	晩成, 不屈	1	友達を元気づけるために始めたプロレス…今は自分のためにも。	
31	平松かなみ	晩成, 不屈	2	副キャプテンとして、チームを支える！	
31	平松かなみ	晩成, 不屈	3	関節技の精度、まだまだ伸ばしていくよ！	
32	双里明日香	負けず嫌い	1	小学生の時のスランプ…やっと完全に吹っ切れた！	
32	双里明日香	負けず嫌い	2	奥山川で情熱を取り戻せた。もう伸び悩みなんて言わせない！	
32	双里明日香	負けず嫌い	3	負けたくない…この気持ちが一番の武器！	
33	梅ヶ丘みのり	リーダー気質, 負けず嫌い	1	岬浜の主将として、全国制覇への道を切り開く！	
33	梅ヶ丘みのり	リーダー気質, 負けず嫌い	2	おしとやかに見える？ …リングの上では別よ。	
33	梅ヶ丘みのり	リーダー気質, 負けず嫌い	3	チーム全員の想いを背負って…この勝利を！	
34	北畠吉乃	破天荒, 早熟, 努力家	1	1年からレギュラーの実力、見せつけたよ！	
34	北畠吉乃	破天荒, 早熟, 努力家	2	梅ヶ丘先輩のためにも…副将として結果を出す！	
34	北畠吉乃	破天荒, 早熟, 努力家	3	グラウンドに引き込めば私の世界。逃がさないよ？	
35	上野原弥生	頑丈さ	1	ツインタワーの片翼として…岬浜を支える！	
35	上野原弥生	頑丈さ	2	中学から急成長した体格、まだまだ伸びるわよ！	
35	上野原弥生	頑丈さ	3	特待生の名に恥じない結果を出す。それだけ。	
36	真鍋綾乃	頑丈さ	1	178cmのリーチ、活かさない手はないでしょ？	
36	真鍋綾乃	頑丈さ	2	ツインタワーの名に恥じない。次期主将として。	
36	真鍋綾乃	頑丈さ	3	格闘技の実践で鍛えた技、プロレスでも通用するわ。	
37	白銀麗子	不屈, 華, 頑丈さ	1	「柔の白銀」…この試合で証明できたかしら？	
37	白銀麗子	不屈, 華, 頑丈さ	2	姫宮の白雪姫は、リングの上でも輝くわ。	
37	白銀麗子	不屈, 華, 頑丈さ	3	美しく、強く。それが姫宮のプロレスよ。	
38	芝彩音	華, 闘志	1	「剛の芝」の打撃、しかと受けていただけたかしら？	
38	芝彩音	華, 闘志	2	お嬢様だからって手加減はしないわ。全力で！	
38	芝彩音	華, 闘志	3	姫宮の二枚看板として…絶対に負けるわけにはいかない！	
39	神谷沙奈絵	忠誠心	1	……次期キャプテンの責任、果たせたかな。	
39	神谷沙奈絵	忠誠心	2	コンビネーションのキレ、もっと磨いていく。	
39	神谷沙奈絵	忠誠心	3	寡黙？ …リングの上では拳で語るから。	
40	高輪まみ	頑丈さ	1	小さくても、最後まで走り切る！ それが私の持ち味！	
40	高輪まみ	頑丈さ	2	1年からレギュラー、努力で掴んだポジションだよ！	
40	高輪まみ	頑丈さ	3	スタミナなら負けない…後半勝負、いつでもどうぞ！	
41	根岸亞里亞	ヒール適性, 早熟	1	自由にやらせてもらうわ。責任とか面倒だし。	
41	根岸亞里亞	ヒール適性, 早熟	2	関節技で仕留める…それが一番手っ取り早い。	
41	根岸亞里亞	ヒール適性, 早熟	3	キャプテン？ やだよ面倒くさい。勝つだけでいいでしょ。	
42	本郷真理子	ヒール適性, 威圧感	1	路上格闘で鍛えた拳…リングでも最強よ。	
42	本郷真理子	ヒール適性, 威圧感	2	ルール？ 勝てばいいのよ。手段は選ばない。	
42	本郷真理子	ヒール適性, 威圧感	3	3年間戦ってきた実力、伊達じゃないわ。	
43	金沢文	頑丈さ	1	うおおっ！ パワーで押し潰す！ それだけ！	
43	金沢文	頑丈さ	2	頭使うのは苦手だけどさ…力なら誰にも負けない！	
43	金沢文	頑丈さ	3	もっと暴れたい！ 次の相手はどこ！？	
44	福浦理乃		1	わ、私が勝った…！？ まだまだ発展途上だけど…！	
44	福浦理乃		2	先輩たちに追いつくために、もっと頑張る！	
44	福浦理乃		3	1年生でも、やれるところ見せたよ！	
45	高槻千歳	リーダー気質, 華, 野心	1	ふふ…計画通りよ。この団地は私のもの。	
45	高槻千歳	リーダー気質, 華, 野心	2	支配する側と、される側。…あなたはどちら？	
45	高槻千歳	リーダー気質, 華, 野心	3	策を巡らせるのは得意なの。力ずくは趣味じゃないわ。	
46	井沢遥	不屈, 名勝負製造機, 引き出し上手, 負けず嫌い	1	友人を失っても、地位を失っても…この闘志だけは折れない！	
46	井沢遥	不屈, 名勝負製造機, 引き出し上手, 負けず嫌い	2	どん底から這い上がる。それが私の生き方。	
46	井沢遥	不屈, 名勝負製造機, 引き出し上手, 負けず嫌い	3	不屈の心で…もう一度、みんなの信頼を取り戻す！	
47	斎藤麻衣	早熟	1	まだ入居2年目だけど、実力は見ての通りよ。	
47	斎藤麻衣	早熟	2	サブミッション技術なら…年季は関係ないわ。	
47	斎藤麻衣	早熟	3	若手の勢い、見せてあげたわ。	
48	菊池璃子	負けず嫌い, 適応力, 闘志	1	外では厳しく、家では陽気♪ …リングの上は？ もちろん全力よ！	
48	菊池璃子	負けず嫌い, 適応力, 闘志	2	町内会プロレスの実力者を舐めないでちょうだい！	
48	菊池璃子	負けず嫌い, 適応力, 闘志	3	引っ越してきたばかりだけど…もう馴染んだわよ！	
49	高橋まゆみ	努力家, 忠誠心, 遅咲き	1	井沢さんに教わったこと、しっかり活かせました…！	
49	高橋まゆみ	努力家, 忠誠心, 遅咲き	2	基本から学んで、一歩ずつ。着実に強くなってみせます！	
49	高橋まゆみ	努力家, 忠誠心, 遅咲き	3	おっとりしてるって言われるけど…やる時はやるんです！	
50	相田萌	ファンサービス, 適応力	1	あらぁ～、勝っちゃった♡ ラッキー♪	
50	相田萌	ファンサービス, 適応力	2	世渡り上手って言わないで…生き残り戦略って言って♪	
50	相田萌	ファンサービス, 適応力	3	甘え上手は最強のスキルなの♡	
51	三橋ふみえ	ヒール適性, ファンサービス	1	あら…もう終わり？ もっと苦しんでくれると思ったのに♡	
51	三橋ふみえ	ヒール適性, ファンサービス	2	幸せそうな顔が歪む瞬間…たまらないわ♡	
51	三橋ふみえ	ヒール適性, ファンサービス	3	魔性の女の関節技…逃げられないでしょう？	
52	西川ちあき		1	入居8年の経験を舐めないで。	
52	西川ちあき		2	…勝てばいいのよ、勝てば。	
52	西川ちあき		3	団地の生存競争は甘くないわ。	
53	小森さなえ	ムードメーカー	1	あはは！ パワーで押し切っちゃった！ テクニック？ 何それ♪	
53	小森さなえ	ムードメーカー	2	ズボラだけど夫婦仲は円満だよ～♪ プロレスも楽しい！	
53	小森さなえ	ムードメーカー	3	年の割に？ 失礼ね！ まだまだ元気よ！	
54	阿部みのり		1	え…私が勝ったの？ 運動苦手なのに…！	
54	阿部みのり		2	職場の人間関係で鍛えられた…のかも？	
54	阿部みのり		3	平凡なOLでも、やればできる…んですね！	
55	大久保桃子	不屈, 鉄人, 頑丈さ	1	社長秘書の仕事もプロレスも、全力で！	
55	大久保桃子	不屈, 鉄人, 頑丈さ	2	社内マドンナの座、実力で守ってみせるわ。	
55	大久保桃子	不屈, 鉄人, 頑丈さ	3	美貌と実力、どちらも手を抜かないのが私のポリシー。	
56	片桐ありさ	ヒール適性, ライバル体質, 野心	1	ふふ…まだまだいたぶり足りないわ。	
56	片桐ありさ	ヒール適性, ライバル体質, 野心	2	経理課のお姉さんは、容赦しないわよ？	
56	片桐ありさ	ヒール適性, ライバル体質, 野心	3	高い勝率を維持するのも、一種の才能よ。	
57	浅見里緒菜	リーダー気質, 早熟, 負けず嫌い, 野心	1	元マドンナの座、必ず取り戻すわ…！	
57	浅見里緒菜	リーダー気質, 早熟, 負けず嫌い, 野心	2	策略を巡らせるのは得意なの。正面からだけが勝負じゃない。	
57	浅見里緒菜	リーダー気質, 早熟, 負けず嫌い, 野心	3	大久保…次は必ず。	
58	丹羽穂垂	引き出し上手, 負けず嫌い	1	後輩を守るのが先輩の務め。…負けるわけにはいかない！	
58	丹羽穂垂	引き出し上手, 負けず嫌い	2	情に厚い？ …当然でしょ。仲間は家族よ。	
58	丹羽穂垂	引き出し上手, 負けず嫌い	3	片桐には好きにさせない。佐久間は私が守る！	
59	池辺マリ	負けず嫌い	1	くっ…大久保には負けたくない…絶対に！	
59	池辺マリ	負けず嫌い	2	嫉妬？ …ええそうよ。だから強くなるの！	
59	池辺マリ	負けず嫌い	3	直情型って言うな！ …いや、そうだけど！	
60	馬入橋ほとり	早熟, 鉄人, 頑丈さ	1	この体格とパワー…特殊な血筋のおかげかな。	
60	馬入橋ほとり	早熟, 鉄人, 頑丈さ	2	精神的な強さが一番の武器。何があっても折れない！	
60	馬入橋ほとり	早熟, 鉄人, 頑丈さ	3	まだまだ成長途中。もっと強くなってみせる！	
61	観音崎せりか	ヒール適性, 華, 野心	1	カーストトップの実力、見せつけてあげたわ♪	
61	観音崎せりか	ヒール適性, 華, 野心	2	ルックスも実力も…全部持ってる私に敵うわけないでしょ？	
61	観音崎せりか	ヒール適性, 華, 野心	3	ギャル3人衆のリーダーは伊達じゃないの♡	
62	宮ケ瀬千夏	ヒール適性, 威圧感	1	…恋する乙女を怒らせないで。	
62	宮ケ瀬千夏	ヒール適性, 威圧感	2	この威圧感…感じたでしょ？	
62	宮ケ瀬千夏	ヒール適性, 威圧感	3	伊勢原…あんたのことは許さないから。	
63	伊勢原文奈	忠誠心	1	立場を失っても、芯の強さは失わない…！	
63	伊勢原文奈	忠誠心	2	委員長の意地、見せてやる！	
63	伊勢原文奈	忠誠心	3	正しいことを貫く。それが私のプロレス。	
64	湯本ほたる		1	せりかちゃんたちがいるから安心♪ あ、自力で勝った？	
64	湯本ほたる		2	長いものに巻かれるのも…生存戦略よ？	
64	湯本ほたる		3	世渡り上手って褒め言葉でしょ♪	
65	倉見菜々	ファンサービス, 名勝負製造機	1	いい試合だったね♪ …あ、本音？ もっとやれたわ。	
65	倉見菜々	ファンサービス, 名勝負製造機	2	人当たりいいのは仕事のスキル。毒舌はオフの特権♪	
65	倉見菜々	ファンサービス, 名勝負製造機	3	名勝負製造機って呼ばれるの、けっこう好きよ。	
66	長谷川レオナ	人望, 引き出し上手	1	借金返済のためにも…負けるわけにはいかない！	
66	長谷川レオナ	人望, 引き出し上手	2	マドンナだった頃の意地、まだ消えてないわよ。	
66	長谷川レオナ	人望, 引き出し上手	3	地下格闘で磨いた実力、リングでも証明する！	
67	柳島みずほ	ファンサービス, 華, 野心	1	ピアノは諦めたけど…プロレスで夢をもう一度！	
67	柳島みずほ	ファンサービス, 華, 野心	2	天才美少女の肩書き、リングの上でも使わせてもらうわ♪	
67	柳島みずほ	ファンサービス, 華, 野心	3	この闘志を…音楽じゃなくプロレスに全部注ぐ！	
68	大庭愛菜	負けず嫌い	1	大切な人のために全力で戦う…それが私！	
68	大庭愛菜	負けず嫌い	2	負けず嫌いの情熱家、なめないで！	
68	大庭愛菜	負けず嫌い	3	リョータに恥じない試合ができた…よね？	
69	早川モナ	華, 負けず嫌い	1	チアリーディングで鍛えたアクロバット、見てくれた？	
69	早川モナ	華, 負けず嫌い	2	レースクイーンだけど、リングでもスポットライトは譲らないわ♪	
69	早川モナ	華, 負けず嫌い	3	スピードで魅せる！ それがモナのスタイル♡	
70	浜竹美咲	引き出し上手, 忠誠心	1	クリーニング屋の看板娘は、パワフルなのよ♪	
70	浜竹美咲	引き出し上手, 忠誠心	2	面倒見のいい姐御肌…って言ってくれる？	
70	浜竹美咲	引き出し上手, 忠誠心	3	この美貌とパワーの両立…贅沢でしょ？	
71	東金沙織	ファンサービス	1	モデルの仕事もプロレスも、華やかにこなすわ♪	
71	東金沙織	ファンサービス	2	堅実な実力が私の強み。派手さだけじゃないの。	
71	東金沙織	ファンサービス	3	レースクイーン兼モデルの底力、見せつけたわ。	
72	穴澤ほのか	ファンサービス, 引き出し上手, 野心	1	あら、怖かった？ ごめんなさいね…ふふ♡	
72	穴澤ほのか	ファンサービス, 引き出し上手, 野心	2	優しい淑女の仮面の下に…何があるか、知りたい？	
72	穴澤ほのか	ファンサービス, 引き出し上手, 野心	3	体格もパワーも実力も。全部備えてるの。計算通りよ。	
73	大馬越よし子	威圧感, 頑丈さ	1	この体格の前に立てるだけ大したもんだよ。	
73	大馬越よし子	威圧感, 頑丈さ	2	威圧感？ 生まれつきだからしょうがない。	
73	大馬越よし子	威圧感, 頑丈さ	3	奉納試合にふさわしい結果を出せたかな。	
74	富士見ヶ丘遥	ファンサービス	1	ミスコングランプリの実力、お見せしましたわ♪	
74	富士見ヶ丘遥	ファンサービス	2	お淑やかに見えて、実は結構強気なんです♡	
74	富士見ヶ丘遥	ファンサービス	3	仏検1級の才媛は、リングでも知的に戦うのよ。	
75	海老名栞	ファンサービス, ライバル体質, 野心	1	ミスコン2位？ …次は1位を取るわ。全部ね。	
75	海老名栞	ファンサービス, ライバル体質, 野心	2	明るく快活な美人の本気、見せてあげたでしょ♪	
75	海老名栞	ファンサービス, ライバル体質, 野心	3	他人を蹴落とす？ …それも実力のうちよ。	
76	栗林あかり	ライバル体質, 負けず嫌い	1	初めての恋人もできたし、試合にも勝つし、最高！	
76	栗林あかり	ライバル体質, 負けず嫌い	2	素直で明るいストライカー、それが私！	
76	栗林あかり	ライバル体質, 負けず嫌い	3	負けず嫌いだから…絶対に引かない！	
77	新見ゆり	引き出し上手	1	…観察していれば、弱点は見えてくるものよ。	
77	新見ゆり	引き出し上手	2	大人びてるって言われるけど…それが私の武器かしら。	
77	新見ゆり	引き出し上手	3	知性で戦う。それが新見ゆりのスタイル。	
78	椿山みさき	引き出し上手, 華, 負けず嫌い	1	田舎から抜け出すためにも…もっと強くなる！	
78	椿山みさき	引き出し上手, 華, 負けず嫌い	2	親戚のお姉さんの意地、見せてあげたでしょ♪	
78	椿山みさき	引き出し上手, 華, 負けず嫌い	3	華のある負けず嫌い…それが私よ！	
79	久堂梨々花	ヒール適性	1	きれいごと？ 笑わせないで。勝てばいいのよ。	
79	久堂梨々花	ヒール適性	2	ダーティ？ …それが私のスタイルだもの。	
79	久堂梨々花	ヒール適性	3	手段なんて選んでたら生き残れないわ。	
80	高島さや	ファンサービス, ムードメーカー	1	わ…わたし、勝てたの…？ うそ…！	
80	高島さや	ファンサービス, ムードメーカー	2	ひ弱だけど…諦めたくないから…！	
80	高島さや	ファンサービス, ムードメーカー	3	明日も生きてたい…だから、今日も戦うの…！	
81	坂本莉衣奈	ムードメーカー	1	営業成績もプロレスも好調♪ ちょっと調子乗っちゃうかも！	
81	坂本莉衣奈	ムードメーカー	2	新卒3年目の元気印、まだまだ伸びるよー！	
81	坂本莉衣奈	ムードメーカー	3	おじさん人気？ …あ、応援ありがとうございます♡	
82	近藤ゆりか	番狂わせ体質	1	社内の人間関係のストレス…リングで全部ぶつける！	
82	近藤ゆりか	番狂わせ体質	2	番狂わせ？ …実力よ。見くびらないで。	
82	近藤ゆりか	番狂わせ体質	3	総務部の事務力を舐めないでちょうだい。	
83	佐久間ひより	負けず嫌い	1	新人だけどやる気だけは負けません！ がんばりますっ！	
83	佐久間ひより	負けず嫌い	2	丹羽先輩に教わったこと、全部出し切った…！	
83	佐久間ひより	負けず嫌い	3	まだまだ覚束ないけど…勝てて嬉しいですっ！	
84	南谷杏		1	営業の男たちに囲まれたストレス…ここで発散よ！	
84	南谷杏		2	地下プロレスで憂さ晴らし。最高のストレス解消法ね。	
84	南谷杏		3	…明日からまた仕事か。でも今日はスッキリ！	
85	鴨志田ルーシー	頑丈さ	1	ルーシーって名前、キラキラ？ …本人は普通だよ？	
85	鴨志田ルーシー	頑丈さ	2	アパレル就職決まったし、卒業まで思いっきり楽しむ！	
85	鴨志田ルーシー	頑丈さ	3	彼氏にもいいとこ見せなきゃ♪	
86	芹沢亜里紗	ファンサービス	1	連戦連勝。企画部を率いる才女は、リングでも無敗よ。	
86	芹沢亜里紗	ファンサービス	2	ストレス発散にはダーティファイトが一番ね♡	
86	芹沢亜里紗	ファンサービス	3	化粧品の企画力をプロレスに応用…冗談よ。でも勝つわ。	
87	レオナ・O・シュタインフェルト	華	1	Danke schön! 体操で鍛えたスピード、見てくれた？	
87	レオナ・O・シュタインフェルト	華	2	金髪碧眼の美少女が地下リングに！ …自分で言うのもなんだけど♪	
87	レオナ・O・シュタインフェルト	華	3	オーストリアの強化選手を舐めないでね！	
88	愛川明日香		1	昼はOL、夜はリング…二つの顔を使い分けるの。	
88	愛川明日香		2	プロレスクラブのテクニシャン、なめないで。	
88	愛川明日香		3	怪しげ？ …そこがいいんじゃない♡	
89	赤羽あんな	ファンサービス	1	ケーキ屋の看板娘のスピード、甘く見ないでよ！	
89	赤羽あんな	ファンサービス	2	玉手すみれには負けない…憧れのあの人のためにも！	
89	赤羽あんな	ファンサービス	3	東商店街の意地、見せてあげたわ！	
90	玉手すみれ	努力家	1	和菓子屋の一人娘は粘り強いのよ。	
90	玉手すみれ	努力家	2	赤羽には絶対負けたくない…あの人は私のものだから！	
90	玉手すみれ	努力家	3	スタミナとメンタルで勝負。努力は裏切らない！	
91	等々力あかね	負けず嫌い	1	キャプテンとしての責任、果たせたよ！	
91	等々力あかね	負けず嫌い	2	安定した実力がウリ。派手さはないけど、確実に勝つ！	
91	等々力あかね	負けず嫌い	3	常川高校プロレス部の名に恥じない戦いを！	
92	飯島冴子	忠誠心	1	サブミッション技術には自信があるの。…スタミナ？ 聞かないで。	
92	飯島冴子	忠誠心	2	保健室の先生を舐めないでね♡	
92	飯島冴子	忠誠心	3	色香で惑わせて関節を取る…最高の戦術でしょ？	
93	松久保伊織	忠誠心, 早熟	1	絶対的エースとして…期待に応える。それだけです。	
93	松久保伊織	忠誠心, 早熟	2	容姿端麗・成績優秀・面倒見良し。でも一番はプロレスよ。	
93	松久保伊織	忠誠心, 早熟	3	名門校の看板を背負って。全力で戦い続けます。	
94	須藤美月	ヒール適性	1	松久保との差？ …もう関係ない。私は私の道を行く。	
94	須藤美月	ヒール適性	2	闇試合で鍛えた技…お上品なリングじゃ味わえないでしょ？	
94	須藤美月	ヒール適性	3	道を踏み外した？ …これが本当の私よ。	
95	小西ゆきえ	ガラスの身体, ファンサービス, 早熟	1	秘密の恋を胸に…リングの上でも全力よ♡	
95	小西ゆきえ	ガラスの身体, ファンサービス, 早熟	2	レースクイーンのテクニシャン、見くびらないで。	
95	小西ゆきえ	ガラスの身体, ファンサービス, 早熟	3	体は脆いけど…技術で勝負するの。	
96	松下真理亜	ファンサービス, 早熟	1	ミスコン優勝の実力、リングでも発揮するわ♪	
96	松下真理亜	ファンサービス, 早熟	2	華やかなキャンパスライフもプロレスも♪ 全部楽しむの！	
96	松下真理亜	ファンサービス, 早熟	3	テニスサークルで鍛えた体力、馬鹿にできないでしょ？	
97	岩崎みどり	努力家, 負けず嫌い, 頑丈さ	1	素朴に見える？ でも体育会系なめないで！	
97	岩崎みどり	努力家, 負けず嫌い, 頑丈さ	2	恋にも積極的、プロレスにも積極的！ 全力投球！	
97	岩崎みどり	努力家, 負けず嫌い, 頑丈さ	3	運動神経抜群＋隠れパワー。それが私の武器！	
98	米山杏里	ガラスの身体, リーダー気質, 人望, 引き出し上手	1	生徒会長としてのリーダーシップ、リングでも発揮するわ。	
98	米山杏里	ガラスの身体, リーダー気質, 人望, 引き出し上手	2	みんなの人望を力に変えて…この勝利を！	
