ID	名前	Role	Style	特性	現在のプロフィール	修正後プロフィール
16	大河内紗代子	Heel	Striker	リーダー気質, 威圧感, 華, 野心	市内屈指の名家の令嬢にして摺出川を支配する女帝。高いカリスマ性と冷酷さで学園に君臨する。全国から実力者を編入させる権力と資金力を持ち、自らも卓越した身体能力とストライキング技術で頂点に立つ。その支配欲と野心は留まるところを知らず、粕田市全体の覇権をも狙う。	
17	川野辺菜穂子	Babyface	Speed	ライバル体質, 名勝負製造機, 華, 負けず嫌い	強敵との対戦が多く敗戦続きの印象だが、大河内を破った実績を持つ名勝負製造機。ピアノの腕前はプロ級。どんな相手とも噛み合う天性の試合センスを持ち、彼女の試合は常に見応えがある。繊細な感性と華やかな存在感で、勝敗に関わらずファンの心を掴む稀有なレスラー。	
18	出羽鷹子	Heel	Grappler	適応力	大河内が全国から呼び寄せた編入組の一角。市内屈指の体格とパワーは阿武隈にも引けを取らない。184cmの長身から繰り出す豪快なグラップリングが武器。適応力もあり、試合中に相手のスタイルに合わせた戦術変更もこなせる器用さを併せ持つ。	
19	四条あずさ	Neutral	Allround	忠誠心, 適応力	大河内軍団の中で唯一の一般入学組。心情的にも大河内に心酔する忠実な信奉者。万能型のオールラウンダーで目立った弱点はないが、決定打に欠ける部分がある。大河内への忠誠心は本物で、命じられれば捨て駒も厭わない覚悟を持つ。	
20	岸ゆみえ	Babyface	Submission	努力家, 遅咲き	冷静沈着な戦術眼で相手を観察して戦う関節技の使い手。身体能力には不安があるが技術で補う。相手の癖を瞬時に見抜く観察眼は試合を重ねるごとに磨かれている。遅咲きだが努力を積み重ねる姿勢は衰えず、長期的な成長が期待される知性派。	
21	木ノ内幸音	Babyface	Allround	ヒール適性, ムードメーカー, 華	橘玲美に憧れてヒールを目指す天然娘。声が大きくてうるさい。技術は拙いがタフネスは侮れない。ヒールを名乗るわりには素の明るさが抑えられず、観客を楽しませるムードメーカー的存在。華のある振る舞いで独自のファン層を獲得しつつある。	
22	美濃山まりな	Neutral	Brawler	ヒール適性	大河内直属親衛隊。巨体で相手を押しつぶすラフファイトが持ち味の重量級ブロウラー。173cmの体格を活かしたパワフルな攻撃は単純だが破壊力は抜群。スピードでは劣るが、接近戦に持ち込めば実力者とも互角以上に渡り合える。	
23	早見知子	Heel	Striker	適応力	大河内の取り巻き。昔空手をかじっていたらしいが、全体的な能力は低い。	
24	園部梨花	Heel	Allround		大河内の取り巻きのリーダー気取り。実力は伴わないが、数の力で威張り散らす小物。	
25	石戸谷なつき	Heel	Brawler	早熟	大河内の取り巻き。パワーはありそうだが頭は悪そう。鈍重なブロウラー。	
26	宮守なつめ	Babyface	Allround	努力家, 早熟	廃校寸前の元砥石川高校出身。バランス重視の堅実なファイトで確かな実力を見せる努力家。母校の廃校を経験した苦い思い出をバネに、早くから自立心を鍛えてきた。安定感のある試合運びと粘り強さで、どんな相手にも一定以上の戦いができる信頼のおける選手。	
27	八重樫舞	Babyface	Striker	鉄人	元砥石川高校出身。身体能力に物を言わせるパワー＆スピードタイプ。タフネスにも定評がある。鉄人と呼ぶにふさわしい頑健な肉体で怪我知らずのタフさが最大の武器。技術面の課題を克服できれば、トップ選手の仲間入りも夢ではないポテンシャルを秘める。	
28	岩屋みら	Neutral	Brawler	ガラスの身体, 早熟	元哲玖四天王の一人で女子大生地下レスラー。パワーとスピードを兼ね備えるが、スタミナに不安を抱える。全盛期の爆発力は市内でも屈指だったが、怪我がちな体質が最大の弱点。短期決戦に持ち込めば圧倒的な強さを見せるが、長期戦になると失速する傾向がある。	
29	相沢未来	Babyface	Allround	人望, 鉄人	無名校・奥山川を県大会決勝まで導いたプロレス部主将。膝のケガを乗り越えた不屈のキャプテン。逆境に立たされるほど力を発揮するタイプで、チームメイトからの信頼は絶大。バランスの取れた能力に加え精神的な強さが際立ち、大舞台での勝負強さに定評がある。	
30	松川杏樹	Neutral	Grappler	ムードメーカー, 破天荒	2年秋に転校してきた174cmの大型選手。ムードメーカー気質で、チームの全国大会出場の夢を後押しする。恵まれた体格を活かしたグラップリングが武器で、型破りな発想で相手を翻弄することもある。陽気な性格でチームの雰囲気を明るくする欠かせない存在。	
31	平松かなみ	Babyface	Submission	晩成, 不屈	奥山川プロレス部の副キャプテン。友人を元気づけるため始めた部活で競技の楽しさに目覚めた心優しき創設者。関節技を中心とした技巧派で、晩成型として将来の成長が最も期待される選手の一人。控えめな性格だが、いざ試合になると粘り強さを発揮する。	
32	双里明日香	Babyface	Submission	負けず嫌い	小学生時代は注目のサブミッション使いだったが伸び悩んだ過去を持つ。奥山川で情熱を取り戻した1年生。かつての天才少女が挫折を乗り越えて再起を図る姿は、チームメイトにも良い刺激を与えている。負けず嫌いの性格が闘争心に火をつけた時、その技術は確かな輝きを見せる。	
33	梅ヶ丘みのり	Babyface	Allround	リーダー気質, 負けず嫌い	名門・岬浜女子の主将。おしとやかな容貌ながら努力で掴んだ実力で全国制覇を目指すバランス型の大将。抜きん出た才能はないが、あらゆる面でハイレベルにまとまった総合力の高さが武器。チームを率いるリーダーシップにも優れ、部員たちから深い敬意を集めている。	
34	北畠吉乃	Neutral	Submission	破天荒, 早熟, 努力家	1年時からレギュラーの才能の塊。特にグラウンド技術に優れる岬浜の副将。梅ヶ丘を深く信頼している。早熟型の天才肌で、技術面では上級生すら凌ぐセンスの持ち主。型破りな閃きで試合を動かす反面、安定感に欠ける一面もあるが、その潜在能力は計り知れない。	
35	上野原弥生	Neutral	Grappler	頑丈さ	中学から急成長し特待生で岬浜に入学した大型1年生。「岬浜のツインタワー」の一角を担う将来の逸材。179cmの恵まれた体格を活かしたパワーグラップリングが武器で、頑丈さも折り紙付き。まだ粗削りだが成長の余地は大きく、名門校の未来を担う存在として期待される。	
36	真鍋綾乃	Neutral	Grappler	頑丈さ	181cmの長身を誇り上野原と並ぶ「岬浜のツインタワー」。格闘技仕込みの実践的テクで次期主将候補。上野原との二枚看板として岬浜の最前線を支えるパワーグラップラー。冷静な試合運びと堅実な防御力で安定した試合ができる信頼度の高い選手。	
37	白銀麗子	Babyface	Allround	不屈, 華, 頑丈さ	名門・姫宮女子の主将。「柔の白銀」「姫宮の白雪姫」と呼ばれる容姿端麗な人気レスラー。バランスの取れた高い総合力と、どんな窮地でも折れない不屈の精神力が最大の武器。優雅で華麗な試合スタイルは多くのファンを魅了し、全国的にも知名度の高いトップレスラー。	
38	芝彩音	Babyface	Grappler	華, 闘志	姫宮の副主将にして「剛の芝」の異名を持つ二枚看板の一角。お嬢様揃いの中でも一番のお嬢様。品の良い立ち居振る舞いからは想像できない圧倒的なパワーと組み技で相手をねじ伏せる。白銀とは対照的な剛のスタイルで、互いを補い合う姫宮の屋台骨。	
39	神谷沙奈絵	Neutral	Striker	忠誠心	キレのある打撃コンビネーションに定評がある寡黙な2年生。次期キャプテンと目される実力者。試合中は冷静沈着だが、一度スイッチが入ると容赦のないスピードで相手を追い込む。忠誠心の強い性格でチームへの貢献度は高く、次世代の姫宮を牽引する逸材。	
40	高輪まみ	Babyface	Allround	頑丈さ	小柄だがタフネスとスタミナで後半も攻め手を緩めない有望株。1年生からレギュラーを掴んだ努力家。149cmと最小クラスの体格だが、粘りで大型選手にも食らいつく姿は観客の応援を集める。地道な努力を積み重ねるタイプで、着実に実力を伸ばしている。	
41	根岸亞里亞	Heel	Submission	ヒール適性, 早熟	自由がモットーの三津浜高校プロレス部のリーダー格。責任を嫌いキャプテンは引き受けない自由人。サブミッション技術は相当なもので、自由奔放な発想から繰り出す変則的な攻めは対策が難しい。ヒール寄りのスタイルだが本人は深く考えておらず、ただ好きに戦いたいだけの享楽主義者。	
42	本郷真理子	Neutral	Grappler	ヒール適性, 威圧感	三津浜の3年生。路上格闘の実戦経験も豊富で、ルール無用の喧嘩ファイトは得意中の得意。豪快なパワーグラップリングと場外乱闘を厭わないラフスタイルが持ち味。一見粗暴だが試合の組み立てには独自の勘所を持ち、ダーティな駆け引きにも長けている。	
43	金沢文	Neutral	Grappler	頑丈さ	三津浜随一の怪力を誇る2年生。頭の回転は鈍いがパワーは圧倒的。気の向くまま暴れる問題児。181cmの巨体から繰り出すパワームーブは圧巻で、掴まれたら最後逃れるのは至難の業。試合運びは大雑把だが、その破壊力だけで勝ちを拾えるほどの怪力は唯一無二。	
44	福浦理乃	Heel	Allround		三津浜の1年生レギュラー。腕力が売りだがまだまだ技術不足。伸びしろに期待がかかる発展途上の新人。	
45	高槻千歳	Heel	Allround	リーダー気質, 華, 野心	団地内プロレスのヒエラルキーのトップに座る支配者。井沢を執拗に攻撃し、恐怖政治で団地を支配する策略家。卓越した知性と狡猾さで相手の弱みを見抜き、心理戦で追い詰めてからリングでとどめを刺す。策略だけでなく正面からの戦いでも強い恐るべき敵。	
46	井沢遥	Babyface	Submission	不屈, 名勝負製造機, 引き出し上手, 負けず嫌い	かつて団地の実力者として尊敬を集めたが、高槻の策略で地位と友人を失い孤立。それでも折れない不屈の闘志。サブミッション技術は極めて高く、名勝負製造機の異名に恥じない試合巧者。相手の良さを引き出しながら戦う誠実なスタイルは多くの支持を集めている。	
47	斎藤麻衣	Neutral	Striker	早熟	入居2年目ながら高い実力を示す若手の実力者。鋭い打撃を得意とする早熟型。若さに似合わぬ冷静な試合運びと確かな打撃技術で、短期間でトップクラスの実力を身につけた。早熟型ゆえに伸びしろが懸念されるが、現時点の実力は侮れない。	
48	菊池璃子	Neutral	Striker	負けず嫌い, 適応力, 闘志	最近引っ越してきたちょっときつめの奥さん。前の住まいでは町内会プロレスの実力者。外には厳しく家では陽気。負けず嫌いの性格と適応力の高さで新しい環境にもすぐに溶け込んだ。打撃を軸にした攻撃的なスタイルで、闘志を前面に押し出す熱い試合を見せる。	
49	高橋まゆみ	Babyface	Allround	努力家, 忠誠心, 遅咲き	おっとりした育ちの良いお嬢様妻。井沢に師事しプロレスの基本から学び、着実に実力をつけている成長株。努力家で忠誠心も厚く、師匠である井沢の教えを素直に吸収している。遅咲きだが確実に成長を続けており、メンタルの強さは団地内でも屈指。	
50	相田萌	Neutral	Allround	ファンサービス, 適応力	見た目も言動も若々しい甘え上手。かつての井沢の友人だが、高槻グループに鞍替えした世渡り上手。	
51	三橋ふみえ	Neutral	Submission	ヒール適性, ファンサービス	男性陣を味方につけレフェリーすら誘惑する魔性の女。相手の幸せな顔が苦痛で歪むのを見るのが趣味。サブミッション技術は確かで、反則すれすれの駆け引きで相手を翻弄する試合巧者。甘い容姿に油断した相手が気づいた時にはすでに関節を極められている。	
52	西川ちあき	Heel	Striker		高槻の取り巻き。かつては井沢の友人だった。入居8年目のベテラン団地妻。	
53	小森さなえ	Neutral	Brawler	ムードメーカー	年の割に落ち着きがないズボラ妻。でも夫婦仲は円満。パワーはあるがテクニックが追いつかない。	
54	阿部みのり	Babyface	Allround		どこにでもいる平凡なOL。運動は苦手だが、職場の人間関係の中で否応なくリングに立たされる。	
55	大久保桃子	Babyface	Allround	不屈, 鉄人, 頑丈さ	社長秘書としてスカウトされた才媛。美貌と実力で瞬く間に社内マドンナの座を獲得したスポーツウーマン。不屈の精神と鉄人のスタミナを兼ね備え、どんな劣勢からも逆転を狙える粘り強さが最大の武器。正統派のオールラウンドスタイルで正面から堂々と戦う姿勢が支持を集めている。	
56	片桐ありさ	Neutral	Submission	ヒール適性, ライバル体質, 野心	美人で仕事もできる経理課のお姉さん。社内プロレスで高い勝率を誇り、粘着質ないたぶりを好むサディスト。サブミッション技術を駆使して相手をじわじわと追い詰める試合運びが得意。大久保の登場に対するライバル意識が強く、自分こそが社内最強と証明しようとしている。	
57	浅見里緒菜	Heel	Submission	リーダー気質, 早熟, 負けず嫌い, 野心	元社内マドンナの美人受付嬢。大久保の登場で地位を脅かされ、策略を巡らせる野心家。リーダーシップと策略で周囲を動かし、自分は安全な場所から指揮を執るタイプ。サブミッション技術はなかなかのもので、早熟な実力とリング外での政治力を武器に暗躍する。	
58	丹羽穂垂	Neutral	Allround	引き出し上手, 負けず嫌い	新人・佐久間の教育担当。情に厚い性格で、後輩のために片桐に立ち向かう熱い姐御肌。バランスの取れた堅実なスタイルで、後輩を引き出す試合センスも持ち合わせる。負けず嫌いの性格と面倒見の良さで、社内の若手からは姉貴分として慕われている。	
59	池辺マリ	Heel	Brawler	負けず嫌い	大久保の人気に嫉妬する女性社員。先輩の浅見に利用され大久保に試合を挑んだ直情型ブロウラー。パワーで押すスタイルは荒削りだが、直情的な性格ゆえの爆発力は侮れない。	
60	馬入橋ほとり	Babyface	Grappler	早熟, 鉄人, 頑丈さ	特殊な血筋で一時的に女性化した元男子。恵まれた体格とパワー、そして精神的な強さで戦場を制する。男性時代の身体能力の残滓と女性化後に身につけたしなやかさを併せ持つ異色のグラップラー。鉄人と呼ぶにふさわしいタフネスで、長期戦にも耐えうるスタミナの持ち主。	
61	観音崎せりか	Heel	Allround	ヒール適性, 華, 野心	ギャル3人衆のリーダー格。クラスカーストのトップに君臨し、ルックスにも身体能力にも自信ありの実力者。華やかなルックスと高いプライドで注目を集めるヒール型。バランスの取れた実力を持ち、野心家としてより大きな舞台での活躍を虎視眈々と狙っている。	
62	宮ケ瀬千夏	Heel	Brawler	ヒール適性, 威圧感	ギャル3人衆の一角。恋する乙女の裏に威圧感を秘める。伊勢原文奈を警戒するブロウラー。パワーと威圧感を武器にしたラフファイトが持ち味で、体格を活かした圧力は相当。恋愛モードの時は甘いが、リングに上がると獰猛な戦闘本能を剥き出しにする。	
63	伊勢原文奈	Babyface	Allround	忠誠心	クラスの優等生委員長。ギャルグループとの軋轢で立場を失ったが、芯の強さは失っていない。真面目で正義感が強く、忠誠心の高さはチームにとって頼もしい存在。能力は平均的だが、最後まで諦めない姿勢は周囲の尊敬を集めている。	
64	湯本ほたる	Neutral	Allround		ギャル3人衆の一人。長いものに巻かれるタイプで、バックがいる時だけ強気になる世渡り上手。	
65	倉見菜々	Neutral	Allround	ファンサービス, 名勝負製造機	人当たりの良さで患者にも同僚にも人気のナース。仕事中は優しいが、親しい相手にはけっこう毒舌。看護師としての観察眼はリングでも遺憾なく発揮され、名勝負製造機として好試合を生み出してきた。バランスの取れた高い総合力とファンサービス精神で幅広い支持を集める。	
66	長谷川レオナ	Neutral	Allround	人望, 引き出し上手	かつてクラスのマドンナだった元同級生。多額の借金を背負い地下格闘の世界に身を投じた万能型。追い詰められた環境で培った精神的タフさと引き出しの多さが最大の武器。人望のある人柄で、苦境にあっても周囲を引きつけるカリスマ性を持つ。	
67	柳島みずほ	Babyface	Grappler	ファンサービス, 華, 野心	天才美少女ピアニストとして名を馳せた元同級生。夢破れた後も秘めた闘志を燃やすパワーファイター。繊細な指先から繰り出すのは今やピアノではなく、容赦ないパワーグラップリング。華やかな容姿の瞳の奥には、挫折を乗り越えた者だけが持つ覚悟が宿っている。	
68	大庭愛菜	Neutral	Striker	負けず嫌い	リョータの幼馴染の女子大生。負けず嫌いで、大切な人のためなら全力で戦う情熱家。スピードのある打撃が武器のストライカーで、感情をエネルギーに変えて戦うタイプ。大切な人を守るためにリングに立つ姿は応援したくなる魅力を放っている。	
69	早川モナ	Babyface	Speed	華, 負けず嫌い	現役女子大生レースクイーン。チアリーディング部仕込みの身体能力でスピーディーな試合を展開する。持ち前の華やかさと俊敏さを活かしたスピードスタイルで観客を魅了する。負けず嫌いの性格で、華麗な見た目とは裏腹に根性のある粘り強い試合を見せる。	
70	浜竹美咲	Neutral	Grappler	引き出し上手, 忠誠心	リョータ近所のクリーニング店主。すごい美人で面倒見も良い。パワフルな組み技が武器の姐御肌。面倒見の良い人柄で周囲から頼りにされる存在。パワフルなグラップリングに加え、引き出し上手な試合運びで若手の成長を手助けすることも多い。	
71	東金沙織	Neutral	Allround	ファンサービス	モデルと兼業のレースクイーン。華やかなルックスの裏にバランスの取れた堅実な実力を秘める。ファンサービス精神旺盛で華やかな試合を心がけるが、実力も確か。安定感のあるオールラウンドスタイルで、どんな相手とも一定以上の試合ができる信頼度の高い選手。	
72	穴澤ほのか	Neutral	Grappler	ファンサービス, 引き出し上手, 野心	優しげな淑女の仮面の下に利己的なサイコパスの本性を隠す。体格・パワー・実力すべて備えた危険な美女。ファンサービスで人気を集める裏で、相手を精神的に追い詰める巧みな心理戦を展開する。引き出し上手な試合センスと野心を備え、頂点への道に手段を選ばない。	
73	大馬越よし子	Neutral	Grappler	威圧感, 頑丈さ	夏祭の奉納試合に出場した女性。威圧感のある体格と頑丈さを武器にするパワーグラップラー。179cmの体格から繰り出す豪快なグラップリングは力強さに溢れ、接近戦では無類の強さを誇る。	
74	富士見ヶ丘遥	Babyface	Allround	ファンサービス	ミスコングランプリの文学部生。お淑やかな印象だが性格はわりと強気。仏検1級の才媛。知性と品格を感じさせる立ち居振る舞いの中に、試合では意外な負けん気を覗かせる。ファンサービスに長け、バランスの良いスタイルで着実にファン層を広げている。	
75	海老名栞	Babyface	Submission	ファンサービス, ライバル体質, 野心	ミスコン2位の野心家。明るく快活な美人の本性は利己的で、他人を蹴落とすことにも抵抗がない。ファンの前では笑顔を振りまくが、ライバルには容赦のない心理戦を仕掛ける。サブミッション技術とメンタルの強さが武器で、頂点へのライバル意識が原動力。	
76	栗林あかり	Neutral	Striker	ライバル体質, 負けず嫌い	初めての恋人に浮かれる素直で明るい女子高生。負けず嫌いの性格で周囲を引っ張るストライカー。ライバル意識が強く、特に同世代の相手には絶対に負けたくないという闘志で真っ向勝負を挑む。技術面はまだ発展途上だが、パワーとスピードのバランスが良い。	
77	新見ゆり	Neutral	Allround	引き出し上手	若くして大人びた色気を持った女子高生。冷静な観察眼で相手の隙を見抜く知性派。相手を的確に分析し弱点を突く試合運びが得意。派手さはないが、引き出しの多い堅実なオールラウンダー。	
78	椿山みさき	Babyface	Allround	引き出し上手, 華, 負けず嫌い	主人公が憧れる親戚のお姉さん。田舎暮らしから抜け出したいと願う、華のある負けず嫌い。引き出し上手な試合センスと華のある存在感で、田舎ながらも独自のファン層を獲得している。格上相手にも決して引かない気の強さが持ち味。	
79	久堂梨々花	Heel	Brawler	ヒール適性	ハニートラップでオヤジ狩りをしていたギャル。手段を選ばないダーティなブロウラー。	
80	高島さや	Babyface	Allround	ファンサービス, ムードメーカー	プロレスをするには不似合いな華奢でひ弱な少女。明日をも知れぬ日々に怯えながらも懸命に生きている。全ステータスが最低クラスだが、ムードメーカーとして場を明るくするファンサービス精神は誰にも負けない。彼女がリングに立つ姿は、強さとは何かを問いかける。	
81	坂本莉衣奈	Neutral	Speed	ムードメーカー	新卒3年目の若手OL。おじさん人気も手厚く営業成績好調で、ちょっと調子に乗っている元気印。スピードを活かした軽快なファイトスタイルが持ち味で、ムードメーカー気質も相まって試合会場を盛り上げる。スタミナとメンタルの高さで粘り強い試合運びを見せる。	
82	近藤ゆりか	Neutral	Grappler	番狂わせ体質	中途入社3年目の総務部員。事務職のキャリアは長く優秀だが、社内の人間関係にストレスを溜めている。ストレスの捌け口として始めたプロレスで意外な才能が開花。圧倒的なパワーとタフネスでリングを支配するグラップラーで、番狂わせ体質も持つ侮れない実力者。	
83	佐久間ひより	Babyface	Allround	負けず嫌い	新卒1年目の新人OL。まだまだ仕事は覚束ないが、やる気と負けん気だけは溢れている。経験不足を気持ちの強さで補い、先輩たちに食らいつく姿は応援したくなる魅力がある。丹羽の指導のもと着実に成長しており、将来性に期待がかかる。	
84	南谷杏	Neutral	Allround		大手不動産の事務職OL。営業職の男たちに囲まれたストレスを地下プロレスで発散している。	
85	鴨志田ルーシー	Neutral	Grappler	頑丈さ	名前がちょっとキラキラな大学4年生。アパレルに就職内定済み。同じサークルの後輩に彼氏持ち。グラップリングを軸にタフネスで粘る試合スタイル。就活も恋愛も順調で、プロレスはあくまで趣味の延長だが潜在能力は侮れない。	
86	芹沢亜里紗	Heel	Allround	ファンサービス	某化粧品会社の企画部を率いる才女。地下プロレスでストレスを発散する連戦連勝のダーティファイター。頭の切れる策略家で、試合前から心理的に相手を追い詰める巧みさを持つ。ファンサービスの裏に隠された本性はかなりのダーティファイターで、反則すれすれの駆け引きを楽しむ。	
87	レオナ・O・シュタインフェルト	Babyface	Speed	華	オーストリアからの留学生。体操競技の強化選手で、金髪碧眼の美少女が地下リングに舞い降りた。体操仕込みの華麗な空中殺法とスピードは観客を魅了し、その華やかな存在感で一躍人気者に。グラウンド技術には課題を残すが、身体能力の高さで十分カバーしている。	
88	愛川明日香	Heel	Allround		繁華街の怪しげなプロレスクラブのキャスト。昼は普通のOL、夜はリングに上がるテクニシャン。二重生活の中で培ったサブミッション技術は確かなもの。地味だが堅実な試合運びで、知る人ぞ知る実力者。	
89	赤羽あんな	Neutral	Speed	ファンサービス	東商店街のケーキ屋の看板娘。幼馴染をめぐるライバルとの因縁を抱えるスピードファイター。持ち前の快活さと高い身体能力を活かしたスピードスタイルが武器。ファンサービスにも熱心で、商店街の顔として地元での人気は抜群。	
90	玉手すみれ	Neutral	Grappler	努力家	西商店街の和菓子屋の一人娘。憧れの男子をめぐり赤羽と険悪。スタミナとメンタルが光る努力家。コツコツと実力を積み上げるタイプで、長期戦で真価を発揮する。粘り強いグラップリングで相手を消耗させる持久戦型のスタイルが持ち味。	
91	等々力あかね	Neutral	Allround	負けず嫌い	常川高校プロレス部のキャプテン。安定した実力を持つバランス型ファイター。負けず嫌いの性格でチームを率い、自ら先頭に立って戦うキャプテンシーの持ち主。170cmの恵まれた体格を活かしたバランスの良い試合運びで安定した成績を残している。	
92	飯島冴子	Neutral	Submission	忠誠心	その色香で大勢の青少年を悩ませる美人養護教諭。サブミッション技術は確かだがスタミナに難あり。冷静に相手の急所を見極める関節技は安定しているが、スタミナ不足は深刻で長期戦に持ち込まれると一気に失速する弱点を抱える。	
93	松久保伊織	Babyface	Grappler	忠誠心, 早熟	名門校プロレス部の絶対的エース。容姿端麗・成績優秀・面倒見良しの完璧超人。早熟型で1年次から頭角を現し、チームメイトへの忠誠心も厚い人格者。グラップリングを軸にしたバランスの良いスタイルだが、突出した武器がないのが課題。	
94	須藤美月	Heel	Submission	ヒール適性	かつては期待の有望株だったが松久保との差に自信を失い道を踏み外した。闇試合で鬱屈をぶつける。ヒール性を帯びたサブミッション技術は松久保にも劣らない。挫折を経験した者特有の危うさと闘志が入り混じり、予測不能な爆発力を見せることがある。	
95	小西ゆきえ	Neutral	Allround	ガラスの身体, ファンサービス, 早熟	落ち着いた雰囲気の若手レースクイーン。若手レーサーとの秘密の恋を胸に秘めるテクニシャン。ファンサービス精神旺盛で華やかな試合を見せるが、ガラスの身体という弱点を抱える。テクニックとメンタルの高さでカバーしているが、怪我のリスクは常に付きまとう。	
96	松下真理亜	Neutral	Allround	ファンサービス, 早熟	ミスコン優勝のテニスサークル所属。華やかなルックスで大学生活を謳歌する早熟型オールラウンダー。テニスで鍛えたフットワークとファンサービス精神で試合を盛り上げる。早熟型ゆえにピークの懸念もあるが、安定した実力は侮れない。	
97	岩崎みどり	Neutral	Allround	努力家, 負けず嫌い, 頑丈さ	素朴な雰囲気だが恋にも積極的な体育会系女子大生。運動神経抜群で体格に見合わぬパワーも秘める。努力家で負けず嫌いの性格は練習にもリングにも表れ、鍛え抜かれた頑丈な体と高い身体能力でパワフルな試合を展開する。技術面の課題克服が今後の鍵。	
