カテゴリKey	カテゴリ名	特性	番号	現在のセリフ	修正後セリフ
titleWin	王座奪取（新チャンピオン）	（デフォルト）	1	やった…！チャンピオンになれた…！夢みたい！	
titleWin	王座奪取（新チャンピオン）	（デフォルト）	2	このベルト、絶対に手放しません！	
titleWin	王座奪取（新チャンピオン）	（デフォルト）	3	最高の気分です！応援ありがとうございます！	
titleDefense	タイトル防衛成功	リーダー気質	1	まだ誰にもこの座は譲れない。団体の顔として、闘い続ける。	
titleDefense	タイトル防衛成功	リーダー気質	2	この団体のベルトの重み、わかっているから。	
titleDefense	タイトル防衛成功	努力家	1	防衛できた…！でも満足しない。もっと強くなります。	
titleDefense	タイトル防衛成功	努力家	2	日々の積み重ねが、ちゃんと結果に出てくれた。	
titleDefense	タイトル防衛成功	負けず嫌い	1	まだまだ負けるわけにはいかないのよ！	
titleDefense	タイトル防衛成功	負けず嫌い	2	いい挑戦者だった。…でも、このベルトは渡さない。	
titleDefense	タイトル防衛成功	華	1	チャンピオンは私♪ また守り切っちゃいました！	
titleDefense	タイトル防衛成功	華	2	防衛って地味に見える？ ふふ、そんなことないでしょ？	
titleDefense	タイトル防衛成功	ヒール適性	1	何度来ても結果は同じよ。身の程を知りなさい。	
titleDefense	タイトル防衛成功	ヒール適性	2	挑戦者の分際で私に勝てると思った？	
titleDefense	タイトル防衛成功	闘志	1	いい試合だった…！また挑戦してこい！待ってる！	
titleDefense	タイトル防衛成功	闘志	2	防衛するたびに強くなれる。もっと来い！	
titleDefense	タイトル防衛成功	野心	1	防衛は通過点。私が目指すのはもっと先よ。	
titleDefense	タイトル防衛成功	野心	2	まだ誰も私を超えられない。当然でしょう。	
titleDefense	タイトル防衛成功	威圧感	1	…次の挑戦者は、もう少しマシなのを連れてきなさい。	
titleDefense	タイトル防衛成功	威圧感	2	格が違う。それだけのこと。	
titleDefense	タイトル防衛成功	反骨心	1	…負けるわけないでしょ。私を誰だと思ってるの。	
titleDefense	タイトル防衛成功	反骨心	2	ふん。防衛？ 当たり前のことをしただけよ。	
titleDefense	タイトル防衛成功	（デフォルト）	1	防衛成功…！ほっとした…。でも、もっと強くならないと。	
titleDefense	タイトル防衛成功	（デフォルト）	2	このベルトの重さ、守るたびに感じます。	
titleDefense	タイトル防衛成功	（デフォルト）	3	挑戦してくれてありがとう。次もこのベルト、守ります。	
titleChallengeLoss	タイトル挑戦失敗	リーダー気質	1	……完敗ね。でも、この経験を次に活かすわ。	
titleChallengeLoss	タイトル挑戦失敗	リーダー気質	2	悔しい。でも、チームの前で弱音は吐けない。	
titleChallengeLoss	タイトル挑戦失敗	努力家	1	…足りなかった。もっと練習して、必ずもう一度挑戦します。	
titleChallengeLoss	タイトル挑戦失敗	努力家	2	悔しい…。でも、ここで腐っちゃだめだ。	
titleChallengeLoss	タイトル挑戦失敗	負けず嫌い	1	くっ…！こんなの認めない！もう一回やらせて！！	
titleChallengeLoss	タイトル挑戦失敗	負けず嫌い	2	悔しい……悔しい！！ 絶対に見返してやる！	
titleChallengeLoss	タイトル挑戦失敗	華	1	今日は負けちゃったけど…次はもっといい試合しますから！	
titleChallengeLoss	タイトル挑戦失敗	華	2	……悔しいな。でも、下を向いてたら応援してくれる人に失礼だもんね。	
titleChallengeLoss	タイトル挑戦失敗	ヒール適性	1	…ちっ。今日は運が悪かっただけよ。	
titleChallengeLoss	タイトル挑戦失敗	ヒール適性	2	このまま終わると思うなよ。必ず奪い返す。	
titleChallengeLoss	タイトル挑戦失敗	闘志	1	くそっ…！でも、いい闘いだった。次こそ…！	
titleChallengeLoss	タイトル挑戦失敗	闘志	2	負けた。でも心は折れてない。まだ燃えてる。	
titleChallengeLoss	タイトル挑戦失敗	野心	1	…今日は認める。でも、この借りは必ず返すわ。	
titleChallengeLoss	タイトル挑戦失敗	野心	2	てっぺんへの道は、まだ終わってない。	
titleChallengeLoss	タイトル挑戦失敗	威圧感	1	………。次はない。次で、終わらせる。	
titleChallengeLoss	タイトル挑戦失敗	威圧感	2	…認めたくはないが、今日は相手が上だった。	
titleChallengeLoss	タイトル挑戦失敗	反骨心	1	……別にいい。最初から期待なんてしてない。…してないったら。	
titleChallengeLoss	タイトル挑戦失敗	反骨心	2	ふん…。次があるなら、その時に叩き潰すだけよ。	
titleChallengeLoss	タイトル挑戦失敗	（デフォルト）	1	悔しい…。でも、いい経験になりました。次こそは…！	
titleChallengeLoss	タイトル挑戦失敗	（デフォルト）	2	まだ実力が足りなかった…。もっと強くなって帰ってきます。	
titleChallengeLoss	タイトル挑戦失敗	（デフォルト）	3	負けちゃった…。でも、諦めません。絶対に。	
titleLoss	王座陥落（前王者）	リーダー気質	1	…ベルトを失った。でも、ここから立て直す。それがリーダーよ。	
titleLoss	王座陥落（前王者）	リーダー気質	2	悔しいけど、認めなきゃいけない。…強かった。	
titleLoss	王座陥落（前王者）	努力家	1	…努力が足りなかったんだ。もう一度、一からやり直します。	
titleLoss	王座陥落（前王者）	努力家	2	ベルトを手放してしまった…。でも、ここで終わりじゃない。	
titleLoss	王座陥落（前王者）	負けず嫌い	1	嘘でしょ…！私のベルトが…！絶対に取り返す！！	
titleLoss	王座陥落（前王者）	負けず嫌い	2	こんなの…こんなの認められるわけない…！	
titleLoss	王座陥落（前王者）	華	1	……ベルトがない自分なんて想像できなかった。…でも、私は私だから。	
titleLoss	王座陥落（前王者）	華	2	負けちゃった…。でもファンの皆さんが応援してくれる限り、私は立ち上がる。	
titleLoss	王座陥落（前王者）	ヒール適性	1	……覚えておきなさい。このベルト、すぐに返してもらうわ。	
titleLoss	王座陥落（前王者）	ヒール適性	2	ふん…。一時的に預けてるだけよ。	
titleLoss	王座陥落（前王者）	闘志	1	ベルトを失った…。でもこの悔しさが、次の炎になる。	
titleLoss	王座陥落（前王者）	闘志	2	…負けたか。でも、まだ闘える。まだ終わってない。	
titleLoss	王座陥落（前王者）	野心	1	…ベルトのない景色なんて見たくなかった。必ず取り返す。	
titleLoss	王座陥落（前王者）	野心	2	一度落ちた場所から這い上がる。それが私よ。	
titleLoss	王座陥落（前王者）	威圧感	1	…………。……次は、容赦しない。	
titleLoss	王座陥落（前王者）	威圧感	2	…認めよう。だが、これで終わりではない。	
titleLoss	王座陥落（前王者）	反骨心	1	…ベルト持ってた時より、今のほうが燃えてるかもね。	
titleLoss	王座陥落（前王者）	反骨心	2	取られた？ …ちょうどよかった。追う側のほうが性に合ってるのよ。	
titleLoss	王座陥落（前王者）	（デフォルト）	1	ベルトを失ってしまった…。でも、この団体で戦い続けます。	
titleLoss	王座陥落（前王者）	（デフォルト）	2	…悔しい。チャンピオンとしてもっとやれたはずなのに。	
titleLoss	王座陥落（前王者）	（デフォルト）	3	今は…少し、一人にしてください。	
